Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
PFG UN Equity,Principal Financial Group Inc,US,Financials,38,37.81,-454.9,1226.1,9763.8,215365.4,4228.3,4113.5,13.3398,#N/A N/A,12065.4,#N/A N/A,31.266,11124.5429,#N/A N/A,170.5,993.5
ATI UN Equity,Allegheny Technologies Inc,US,Materials,9.38,13.41,-77.2,-128.9,2517.6,6161.1,203,35.5,0.2805,6.9435,4028.2,125.7,82.255,1024.371,197.9,#N/A N/A,1308.1
SRCL UW Equity,Stericycle Inc,US,Industrials,120.35,113.93,0,270.696,2734.442,5176.457,395.445,302.645,17.15,43.7513,2774.551,-75.048,41.893,10227.9173,583.283,70.61,846.921
ARW UN Equity,Arrow Electronics Inc,US,Information Technology,51.6,57.16,0,455.411,4212.611,12006.198,567.997,420.317,3.2564,13.1377,22927.557,-21.776,28.689,4826.1365,905.15,#N/A N/A,2497.335
ETFC UW Equity,E*TRADE Financial Corp,US,Financials,23.56,23.46,0,220,5812,41205,1001,924,0.2484,#N/A N/A,1610,#N/A N/A,32.822,6902.3258,607,246,-16
NOV UN Equity,National Oilwell Varco Inc,US,Energy,32.54,29.27,-733,1349,18206,29628,1454,885,11.8181,23.9518,17744,1000,39.063,12226.8275,2864,102,2137
DGX UN Equity,Quest Diagnostics Inc,US,Health Care,65.67,66.53,-206,708,4621,10074,842,584,18.8256,37.6777,7527,-266,25.78,9413.7749,1726,160,3608
ROK UN Equity,Rockwell Automation Inc,US,Industrials,95.57,104.09,-350.1,825.6,2256.8,6404.7,1187.7,1064.8,18.9714,42.8526,6307.9,73.4,24.983,12616.7056,1359.2,63.7,-648.3
AMT UN Equity,American Tower Corp,US,Financials,94.34,92.2,-658.73,557.564,6684.202,26926.788,2108.598,1339.529,34.304,#N/A N/A,4537.789,#N/A N/A,23.526,39959.6089,2753.162,593.709,16740.004
AMZN UW Equity,Amazon.com Inc,US,Consumer Discretionary,587,552.52,0,328,12430,56230,9823,5400,1.706,32.4164,100588,-1681,38.018,276384.2781,7624,419,-5068
RL UN Equity,Ralph Lauren Corp,US,Consumer Discretionary,112.5,90.76,-165,563,3811,6443,985,568,11.0711,57.0477,7506,26,42.701,9528.1338,1135,16,-105
BXP UN Equity,Boston Properties Inc,US,Financials,116.21,114.14,-1225.969,609.234,8062.759,18980.263,834.754,256.193,34.1789,#N/A N/A,2480.288,#N/A N/A,22.116,17847.0993,1485.246,443.922,8342.789
APH UN Equity,Amphenol Corp,US,Information Technology,49.57,53.07,-116.1,756.8,3181.4,7485.6,981.665,804.422,19.6704,31.9478,5564.7,#N/A N/A,24.932,15280.5107,1272.823,71.3,1255.7
TK UN Equity,Teekay Corp,US,Energy,6.85,8,-108.823,30.257,3909.187,13136.995,788.709,-1099.653,27.0807,34.3074,2295.265,#N/A N/A,174.486,496.6284,1073.428,233.518,6627.788
PXD UN Equity,Pioneer Natural Resources Co,US,Energy,123.95,120.53,-12,770,8981,14965,1357,-1500,20.0844,23.6594,4028,74,47.36,20018.8801,2071,184,2094
VLO UN Equity,Valero Energy Corp,US,Energy,67.87,60.08,-751,4847,21868,45825,6121,4235,7.7493,10.3204,96886,#N/A N/A,39.338,32679.639,9281,427,2080
LLL UN Equity,L-3 Communications Holdings Inc,US,Industrials,116.84,117.31,-213,129,4659,13036,1176,978,3.9154,8.6174,11059,-186,28.194,9158.8228,643,177,3617
WU UN Equity,Western Union Co/The,US,Information Technology,17.84,18.26,-303.8,847,1347.2,9815.9,1074.8,923.6,20.0178,41.5935,5513.6,0,25.841,9014.2131,1374.4,169.5,2069.4
COO UN Equity,Cooper Cos Inc/The,US,Health Care,131.15,142.96,-2.906,203.522,2673.904,4460.61,390.97,147.947,13.1698,59.5563,1797.061,#N/A N/A,29.801,6346.3714,428.073,18.103,1333.531
CHRW UW Equity,CH Robinson Worldwide Inc,US,Industrials,64.77,69.83,-228.866,496.063,1131.363,3312.565,672.547,650.157,6.1036,8.6709,13622.433,30.817,23.591,9302.5824,894.539,#N/A N/A,947.798
HAIN UW Equity,Hain Celestial Group Inc/The,US,Consumer Staples,36.38,36.97,0,180.343,1781.625,3152.176,188.653,131.179,9.7064,23.4955,2744.446,-7.387,40.246,3745.7505,323.949,#N/A N/A,740.823
ACN UN Equity,Accenture PLC,US,Information Technology,105.54,100.26,-1395.411,3040.95,6405.412,17993.875,3830.542,3392.606,13.5285,29.7619,33037.151,-369.025,23.959,69440.5672,5130.706,15.819,-3048.266
MAA UN Equity,Mid-America Apartment Communities Inc,US,Financials,93.82,89.94,-228.896,323.825,3178.587,6887.341,451.576,-107.557,27.1298,#N/A N/A,1032.66,#N/A N/A,20.119,7072.0934,571.325,122.888,3380.259
MAN UN Equity,ManpowerGroup Inc,US,Industrials,76.35,77.44,-100.4,412.5,2685.2,7444.4,484.1,432.1,3.5959,16.9948,19497.1,-246.8,32.809,5620.568,777.7,33.8,226.2
YUM UN Equity,Yum! Brands Inc,US,Consumer Discretionary,72.37,72.47,-711,932,1893,8306,2254,1234,10.9269,26.1653,13151,-11,45.956,31208.9574,2180,#N/A N/A,2356
OII UN Equity,Oceaneering International Inc,US,Energy,33.85,27.62,-108.019,305.977,1588.916,3420.63,709.336,484.733,14.7347,21.7494,3259.615,242.367,42.9,3312.0525,724.551,21.918,526.34
PLD UN Equity,Prologis Inc,US,Financials,39.47,38.46,-762.726,1153.034,18184.971,31419.354,903.559,-550.256,17.4375,#N/A N/A,2004.738,#N/A N/A,23.381,20684.135,1107.602,292.79,11623.922
FE UN Equity,FirstEnergy Corp,US,Utilities,33.06,33.47,-607,498,12628,52663,3293,196,11.4845,58.2576,14968,56,24.816,13985.7612,3476,995,22088
VIA UW Equity,Viacom Inc,US,Consumer Discretionary,48.54,41.46,-564,1922,3818,22217,2313,2171,23.4549,48.2364,13268,124,35.119,18210.4589,3334,#N/A N/A,11779
TSCO UW Equity,Tractor Supply Co,US,Consumer Discretionary,88.31,84.57,-98.006,410.745,1337.26,2440.586,485.068,286.412,10.6247,34.4211,6164.151,0,29.099,11863.0288,775.779,#N/A N/A,149.934
VRSN UW Equity,VeriSign Inc,US,Information Technology,75.6,84.49,0,339.178,-1031.41,2577.305,629.467,591.539,56.5751,81.6556,1042.658,1.158,26.803,8429.9416,652.205,100.65,-29.478
PWR UN Equity,Quanta Services Inc,US,Industrials,18.7,20.29,0,382.557,3203.914,5373.424,695.759,480.344,4.3051,13.1448,7700.778,208.161,65.5,2987.4763,521.116,6.43,301.365
GLPI UW Equity,Gaming and Leisure Properties Inc,US,Financials,26.08,26.19,-293.896,142.586,-236.586,2516.115,319.077,303.27,44.1056,85.7775,605.4,#N/A N/A,25.441,3003.935,377.046,119.943,2498.674
ATML UW Equity,Atmel Corp,US,Information Technology,8.06,8.08,-50.239,15.736,861.307,1300.898,133.829,100.977,3.1973,44.7469,1257.128,10.063,34.718,3387.6413,98.641,3.051,-154.374
AEE UN Equity,Ameren Corp,US,Utilities,44.92,46.95,-408,649,7156,23459,1895,-2,20.1948,69.5942,6160,-56,19.392,10899.155,2092,339,7087
BRCM UW Equity,Broadcom Corp,US,Information Technology,54.67,54.67,-326,1414,9989,13235,1893,1591,17.2089,53.5832,8484,-27,21.732,33294.03,1766,#N/A N/A,-5050
ATR UN Equity,AptarGroup Inc,US,Materials,72.9,73.71,-70.641,197.555,1159.904,2491.752,347.005,205.678,13.5728,34.5885,2369.561,-5.922,20.751,4552.387,463.627,31.016,335.367
NVDA UW Equity,NVIDIA Corp,US,Information Technology,29.29,31.36,-198.217,599.128,4465,7174,1106.729,1004.684,14.9837,55.9851,4859.514,26.405,37.131,15758.02,933.091,47.594,-3311
LGF UN Equity,Lions Gate Entertainment Corp,US,Consumer Discretionary,26.15,21.1,-39.97,116.354,887.547,3565.226,135.838,116.44,6.5222,43.3384,2283.081,-85.555,33.852,3886.4332,156.865,51.688,1412.977
LVLT UN Equity,Level 3 Communications Inc,US,Telecommunication Services,48.81,48.55,0,176,6780,20883,1695,494,15.1298,65.1422,8090,-96,33.849,17389.3967,2346,685,10322
CPRT UW Equity,Copart Inc,US,Industrials,33.51,37.75,0,219.581,1016.545,1855.764,258.304,182.372,30.427,42.1071,1144.531,-28.323,20.984,4029.1255,394.734,21.935,131.914
RMD UN Equity,ResMed Inc,US,Health Care,56.7,56.91,-160.142,350.029,1460.813,2254.679,418.716,360.492,24.1256,59.2168,1710.16,-18.565,24.152,7940.3195,485.463,#N/A N/A,-321.466
SEE UN Equity,Sealed Air Corp,US,Materials,40.53,45.73,-108.2,278.2,442,7586.3,934.8,762.4,9.7982,36.1632,7251.3,-10.3,29.19,8001.589,934.2,237.9,4315.8
LAZ UN Equity,Lazard Ltd,US,Financials,35.99,35.18,-283.408,1000.994,1211.873,4148.037,839.989,813.487,1.52,#N/A N/A,2869.918,#N/A N/A,47.981,4695.8351,134.676,54.827,138.366
CTSH UW Equity,Cognizant Technology Solutions Corp,US,Information Technology,63.31,56.98,0,1563.057,8827,12267.6,1787.496,1514.14,17.3407,40.0793,11925.73,-282.277,30.21,38496.8387,2372.884,15.573,-3100.7
ALB UN Equity,Albemarle Corp,US,Materials,52.64,56.22,-100.433,142.146,3274.514,9675.064,243.856,45.394,6.9288,31.1392,3319.548,#N/A N/A,40.316,5906.3741,455.606,116.089,3608.842
MTD UN Equity,Mettler-Toledo International Inc,US,Health Care,312.85,314.91,0,350.641,586.352,2053.546,430.5,345.764,20.2106,56.033,2419.34,-6.352,22.224,8558.5868,552.628,27.62,499.493
ISRG UW Equity,Intuitive Surgical Inc,US,Health Care,540.85,563.06,0,545.6,4115.2,4682.3,682.7,556.2,29.4128,65.4026,2312.6,-75.8,22.171,20208.9746,765.4,#N/A N/A,-1739.7
BMRN UW Equity,BioMarin Pharmaceutical Inc,US,Health Care,74.02,81.87,0,-310.213,2292.64,3624.853,-179.05,-330.661,-30.3366,83.0223,892.416,-22.323,53.064,11935.8515,-223.037,38.108,49.463
CNX UN Equity,CONSOL Energy Inc,US,Energy,7.94,8.63,-45.378,-331.625,4887.85,11185.366,490.892,-723.082,-15.6339,23.6783,2971.421,44.265,113.3,1818.6859,160.371,203.212,3659.264
SPWR UW Equity,SunPower Corp,US,Information Technology,25.44,23.62,0,75.317,1646.694,4394.325,-307.011,-496.36,2.5687,20.4459,2366.347,306.531,65.504,3474.9306,191.824,49.58,475.739
AET UN Equity,Aetna Inc,US,Health Care,101.84,108.63,-340.5,2301.4,15932.5,53478.4,3049.7,2654.2,7.9195,27.1009,60059.2,#N/A N/A,37.386,35511.6092,5416.7,335.5,3194.2
IHS UN Equity,IHS Inc,US,Industrials,104.62,103.99,0,209.834,2190.982,5649.599,582.31,453.483,14.2477,61.5929,2234.36,44.473,28.456,7024.5523,545.9,65.807,1821.492
RSG UN Equity,Republic Services Inc,US,Industrials,43.7,45.7,-394.5,628,7802.2,20791.8,1752.7,841.3,15.146,37.5374,9053.9,-16.3,17.429,15174.3156,2404.3,359.8,7458.5
EBAY UW Equity,eBay Inc,US,Information Technology,23.46,23.8,0,2271,6492,18338,4634,4121,23.7433,75.7503,10862,#N/A N/A,40.533,28167.3412,3038,#N/A N/A,2138
GS UN Equity,Goldman Sachs Group Inc/The,US,Financials,161.56,149.53,-1606,7026,88121,880559,5151,3776,27.7422,#N/A N/A,39348,#N/A N/A,28.896,71949.6361,17087,5113,50899
SRE UN Equity,Sempra Energy,US,Utilities,94.75,96.51,-617,1277,12396,40566,2589,-422,18.5171,61.662,10277,#N/A N/A,23.755,23517.9401,3118,552,14042
MCO UN Equity,Moody's Corp,US,Financials,89.14,88.8,-262.8,959.7,-240.2,4772.9,1202.3,1118.6,42.4759,#N/A N/A,3496.1,-25.4,28.005,17622.9777,1596.8,125.4,736.7
EXP UN Equity,Eagle Materials Inc,US,Materials,53.54,60.42,-20.114,166.405,1069.691,1920.25,224.059,96.656,16.9386,20.1957,1129.26,-5.374,40.623,2640.0456,281.75,16.47,503.411
PCLN UW Equity,Priceline Group Inc/The,US,Consumer Discretionary,1064.97,1265.21,0,2498.922,8526.773,16614.77,2976.439,2809.023,35.0821,92.5312,9064.089,-118.456,32.568,53018.341,3453.162,147.011,2368.486
FFIV UW Equity,F5 Networks Inc,US,Information Technology,93.78,96.17,0,365.014,1316.728,2312.29,684.541,624.234,28.7995,82.6931,1919.823,-38.68,30.724,6447.7141,605.482,#N/A N/A,-1171.998
AKAM UW Equity,Akamai Technologies Inc,US,Information Technology,45.62,53.97,0,330.093,3085.663,4184.809,741.901,387.177,22.2573,67.7149,2154.584,-48.891,45.152,8117.5749,766.549,18.408,-885.508
QEP UN Equity,QEP Resources Inc,US,Energy,12.82,9.76,-14.4,555.1,3972.1,8456.1,596.7,-795.6,-33.2414,14.3993,2755,#N/A N/A,74.528,2265.7677,18.3,150.1,1722.7
RAI UN Equity,Reynolds American Inc,US,Consumer Staples,49.95,50.43,-1424,3122,18477,53774,30,-99,67.2066,54.1466,9755,#N/A N/A,23.671,71383.6169,6675,474,14745
SLM UW Equity,SLM Corp,US,Financials,6.4,5.84,-19.461,184.695,1997.334,14450.544,-327.383,-327.383,37.3063,#N/A N/A,910.291,#N/A N/A,37.32,2727.0939,488.158,122.051,21.895
DVN UN Equity,Devon Energy Corp,US,Energy,27.9,19.68,-395,-10326,15922,34351,5265,-1146,-96.5986,19.8584,15817,#N/A N/A,69.257,11466.9,-11881,553,10113
GOOGL UW Equity,Alphabet Inc,US,Information Technology,761.35,717.22,0,15660,116241,144281,26078,14712,25.6107,62.5197,71763,-1487,25.415,516774.0711,23305,103,-72349
ESS UN Equity,Essex Property Trust Inc,US,Financials,213.11,209.28,-355.174,187.416,6356.412,12012.717,623.059,-29.297,26.0061,#N/A N/A,1162.929,#N/A N/A,22.146,14072.7489,746.081,195.93,5308.163
RHT UN Equity,Red Hat Inc,US,Information Technology,70.05,65.35,0,194.029,1344.793,3899.205,686.022,646,14.3909,84.8618,1972.671,-59.335,25.044,12792.8919,359.977,23.068,-1142.171
PRE UN Equity,PartnerRe Ltd,US,Financials,140.4,140.27,-189.661,148.028,6777.349,22025.228,376.991,376.991,7.0605,#N/A N/A,5714.075,#N/A N/A,2.901,6726.3337,#N/A N/A,48.986,-435.315
NFLX UW Equity,Netflix Inc,US,Consumer Discretionary,91.84,93.41,0,162.834,2167.318,9916.267,-543.155,-637.04,4.8282,32.3629,6440.906,#N/A N/A,51.553,39314.9781,372.085,110.64,-209.642
A UN Equity,Agilent Technologies Inc,US,Health Care,37.65,37.35,-133,393,4170,7479,491,393,12.9272,50.5448,4038,-24,25.768,12340.4987,775,66,-348
ANTM UN Equity,Anthem Inc,US,Health Care,130.49,130.69,-611.1,2885.8,23236.1,62335.6,3472,2759.7,7.4009,23.4675,77952.9,-425,32.478,34055.7476,#N/A N/A,626.9,-4719.5
CME UW Equity,CME Group Inc/IL,US,Financials,89.85,91.44,-1332.5,1261.8,21376.8,80949.6,1643.7,1516.9,59.3393,#N/A N/A,3354.1,-18.9,27.439,30390.5391,2219,117.2,734.5
JNPR UN Equity,Juniper Networks Inc,US,Information Technology,23.6,24.7,-160.2,-333.7,4428.1,8505.9,1060.4,853.6,-1.485,62.7462,4639.8,0.7,42.589,9106.1127,106.8,78.6,-564.7
BLK UN Equity,BlackRock Inc,US,Financials,314.26,311.96,-1437,3297,28481,222216,3137,2951,39.9134,#N/A N/A,11322,#N/A N/A,31.505,52207.2638,4989,211,-723
O UN Equity,Realty Income Corp,US,Financials,55.79,58.54,-515.288,251.534,6063.836,11738.569,660.559,-560.519,48.8891,#N/A N/A,1007.189,#N/A N/A,21.635,13931.5205,887.463,240.218,5244.475
DTE UN Equity,DTE Energy Co,US,Utilities,85.01,84.12,-492,946,8833,28654,2013,57,15.0714,56.7899,10928,52,20.071,15257.2235,2617,447,9421
NDAQ UW Equity,Nasdaq Inc,US,Financials,62,63.29,-133,367,5546,11770,752,614,18.7554,59.9421,3455,73,29.514,10182.6646,783,111,1952
PM UN Equity,Philip Morris International Inc,US,Consumer Staples,90.01,91.03,-6229,7228,-12226,32011,7347,6362,40.7768,65.1364,27599,-112,17.356,139452.1018,12044,#N/A N/A,26514
TWC UN Equity,Time Warner Cable Inc,US,Consumer Discretionary,182.01,190.86,-863,1912,8749,48721,6516,2098,18.5351,75.7122,23415,36,21.025,51544.7843,7956,1402,22210
CRM UN Equity,salesforce.com Inc,US,Information Technology,68.06,67.75,0,-87.682,4749.954,10911.966,1489.622,751.381,0.9448,75.1399,6302.426,-257.902,27.299,45191.84,648.002,69.902,-1013.545
NRE UN Equity,NorthStar Realty Europe Corp,US,Financials,9.44,9.76,#N/A N/A,#N/A N/A,658.378,2655.734,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,594.7709,#N/A N/A,#N/A N/A,1757.631
MET UN Equity,MetLife Inc,US,Financials,44.65,39.56,-1730,5857,71067,882460,14953,14953,13.3507,#N/A N/A,72026,#N/A N/A,27.026,49634.1217,#N/A N/A,1205,13985
SLGN UW Equity,Silgan Holdings Inc,US,Materials,52.87,51.23,-39.536,169.464,631.885,3514.415,350.119,152.561,8.4893,14.6571,3844.555,-29.792,25.681,3192.973,470.043,68.264,1827.611
MON UN Equity,Monsanto Co,US,Materials,90.6,89.99,-938,2314,7005,21920,3108,2141,23.4851,54.543,15001,68,20.344,39896.2027,4239,433,5296
COH UN Equity,Coach Inc,US,Consumer Discretionary,37.05,38.94,-372.5,379.7,2473.5,4554.4,806.5,578.1,13.8558,69.0803,4183.1,-14.9,39.055,10282.0421,782.5,#N/A N/A,-385.6
FLR UN Equity,Fluor Corp,US,Industrials,44.89,46.04,-127.796,678.369,3175.942,7599.361,805.648,522.427,5.7011,6.2694,19198.567,#N/A N/A,34.706,6356.9846,1284.265,43.099,-1273.667
MFA UN Equity,MFA Financial Inc,US,Financials,6.35,6.81,-297.034,304.462,3051.782,13384.403,236.924,235.431,89.3106,#N/A N/A,484.836,#N/A N/A,26.377,2352.2638,433.832,169.452,9943.511
NATI UW Equity,National Instruments Corp,US,Information Technology,28.5,28.85,-92.585,106.509,1059.603,1413.307,174.875,132.474,11.6192,74.3166,1223.892,2.559,23.369,3627.9401,216.558,#N/A N/A,-386.295
DNB UN Equity,Dun & Bradstreet Corp/The,US,Industrials,98.42,95.79,-65.8,183.8,-1146.5,2082.4,328.7,320.4,22.6235,66.1552,1603.2,-6.8,27.06,3556.2177,415.2,48,1466
HPT UN Equity,Hospitality Properties Trust,US,Financials,23.59,24.28,-297.64,221.771,2975.832,6494.55,510.097,271.876,19.9925,#N/A N/A,1884.997,#N/A N/A,29.098,3575.0005,699.849,143.303,3268.633
EW UN Equity,Edwards Lifesciences Corp,US,Health Care,78.21,87,0,463.4,2421.4,3876.6,539.1,439.4,24.748,75.3462,2440.6,-44.4,30.45,16870.6522,673.6,16.6,-645.6
AMP UN Equity,Ameriprise Financial Inc,US,Financials,90.65,83.95,-455,1630,8821,145320,2321,2188,18.4997,#N/A N/A,12184,#N/A N/A,29.489,15783.2126,3577,1077,7575
XEL UN Equity,Xcel Energy Inc,US,Utilities,38.22,39.54,-596.042,971.799,10544.83,38029.696,3133.773,27.416,17.2522,55.5092,11307.293,4.967,18.887,19396.5345,3163.812,558.49,12807.816
COL UN Equity,Rockwell Collins Inc,US,Industrials,80.88,87.57,-167,686,1880,7389,735,525,19.222,30.778,5244,-46,24.161,10605.9096,1260,61,1876
FTI UN Equity,FMC Technologies Inc,US,Energy,25.15,24.53,0,506.1,2524,6711.2,911.3,580.8,10.927,24.3838,7091.6,214.5,40.191,5733.7073,1016.5,#N/A N/A,583.2
ZBH UN Equity,Zimmer Biomet Holdings Inc,US,Health Care,99.26,96.81,-149.8,189.4,9993.3,26689.1,783.8,395.5,9.1298,72.7393,5287.1,31.3,24.237,20227.1951,1003.4,212.6,10104.4
WAB UN Equity,Wabtec Corp/DE,US,Industrials,63.95,70.6,-25.09,389.535,1985.441,3326.082,497.527,447.844,18.0012,31.3859,3296.015,71.065,29.309,6169.7728,657.772,#N/A N/A,242.778
CBG UN Equity,CBRE Group Inc,US,Financials,27.97,25.41,0,571.366,2589.525,9555.464,735.712,569.991,9.2287,37.0522,9942.762,-172.064,33.698,9346.6371,1202.53,110.776,3154.814
MA UN Equity,MasterCard Inc,US,Information Technology,89.03,86.92,-675,3719,6298,14634,3729,3526,52.1807,#N/A N/A,9561,-95,25.023,99960.0987,6597,65,-3614
GME UN Equity,GameStop Corp,US,Consumer Discretionary,26.21,30.82,-151,399.1,1941.6,4835,632,449.5,7.0017,30.6122,9314.9,-77.8,45.125,2743.4093,805.2,23.3,164.7
MD UN Equity,MEDNAX Inc,US,Health Care,69.46,67.04,0,332.016,2333.741,4546.495,443.372,416.808,20.3808,#N/A N/A,2688.781,-24.645,29.012,6532.1218,607.976,17.93,1474.767
KMX UN Equity,CarMax Inc,US,Consumer Discretionary,44.18,46.26,0,625.539,2911.755,14381.165,-565.094,-876.886,7.0018,13.4065,14957.962,-0.35,32.618,8647.3215,1178.017,26.758,10573.137
ICE UN Equity,Intercontinental Exchange Inc,US,Financials,263.8,238.46,-316,1192,12410,65856,1431,1239,53.08,#N/A N/A,3263,16,27.347,31324.6359,2097,90,2792
FIS UN Equity,Fidelity National Information Services I,US,Information Technology,59.73,58.25,-288.9,721.6,6604.2,14187.8,1175.3,1031.3,18.5896,33.2631,6409.5,-96.1,31.519,16853.0579,1827.2,#N/A N/A,4528.9
CMG UN Equity,Chipotle Mexican Grill Inc,US,Consumer Discretionary,452.97,509.16,0,528.962,2401.488,2947.922,720.874,446.844,18.5382,27.6287,4573.527,-5.579,42.577,14127.0036,973.826,#N/A N/A,-959.743
POM UN Equity,Pepco Holdings LLC,US,Utilities,26.68,26.18,-274,232,4531,16557,706,-526,11.6204,54.5436,4974,-135,13.315,6766.5066,1211,278,6167
WYNN UW Equity,Wynn Resorts Ltd,US,Consumer Discretionary,67.34,82.48,-700.059,194.971,-60.782,9981.185,469.697,-1376.253,16.9321,37.7975,4266.956,-15.967,74.646,6839.6236,1047.994,306.291,6754.822
SHLD UW Equity,Sears Holdings Corp,US,Consumer Discretionary,16.95,17.47,0,-708,-1293,12769,-1499,-1719,-2.2743,23.8725,25942,#N/A N/A,52.938,1808.3817,-134,342,2587
LVNTA UW Equity,Liberty Ventures,US,Consumer Discretionary,39.33,36.69,#N/A N/A,139,1502,5995,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1001,#N/A N/A,23.99,5622.3573,#N/A N/A,#N/A N/A,-642
AIZ UN Equity,Assurant Inc,US,Financials,81.31,71.1,-80.019,125.566,4683.599,30586.091,408.626,294.455,2.2732,#N/A N/A,10400.352,#N/A N/A,21.986,5353.3769,#N/A N/A,55.113,-372.631
NRG UN Equity,NRG Energy Inc,US,Utilities,10.64,10.78,-208,-13,12167,39988,1788,742,7.1929,27.579,15849,#N/A N/A,74.736,3342.8362,2786,1165,17790
THG UN Equity,Hanover Insurance Group Inc/The,US,Financials,81.49,82.95,-72.4,343.8,2877.5,14041,511,493.8,10.2554,#N/A N/A,5114.4,#N/A N/A,21.312,3524.2196,#N/A N/A,61.8,427.7
GNW UN Equity,Genworth Financial Inc,US,Financials,2.78,2.12,0,-1083,15416,108222,2456,2456,-3.6539,#N/A N/A,8621,#N/A N/A,77.785,1382.9526,#N/A N/A,421,3074
RF UN Equity,Regions Financial Corp,US,Financials,8.12,7.52,-357,929,16952,124789,2154,1883,27.0387,#N/A N/A,5595,#N/A N/A,31.258,10600.4062,#N/A N/A,273,2356
DOX UW Equity,Amdocs Ltd,US,Information Technology,54.74,56.76,-100.79,446.163,3406.842,5324.652,772.622,652.119,14.1606,35.5163,3643.538,39.829,22.767,8230.2688,690.743,#N/A N/A,-1134.012
GOOG UW Equity,Alphabet Inc,US,Information Technology,742.95,697.77,0,15660,116241,144281,26078,14712,25.6107,62.5197,71763,-1487,26.867,516774.0711,23305,103,-72349
TDC UN Equity,Teradata Corp,US,Information Technology,24.34,24.95,0,-47,996,2609,467,407,0.1166,51.944,2572,36,46.928,3237.22,173,#N/A N/A,-164
MOS UN Equity,Mosaic Co/The,US,Materials,24.1,26.65,-381.7,1206.1,9627,17117.9,1975.9,1021.9,15.7957,21.3101,9110.7,-221.6,47.721,8495.6131,2186.6,137.6,2513.4
EXPE UW Equity,Expedia Inc,US,Consumer Discretionary,101.04,104.11,-100.093,842.972,3073.678,12403.273,1341.683,627.535,7.5642,80.1679,6329.728,-262.519,34.652,15183.0157,968.371,118.174,984.608
DISCA UW Equity,Discovery Communications Inc,US,Consumer Discretionary,27.59,25,#N/A N/A,707,5886,15919,1077,966,31.4446,64.1812,6424,-130,32.259,17901.9633,2352,329,6795
IM UN Equity,Ingram Micro Inc,US,Information Technology,28.2,35.8,-15.196,192.915,3915.666,11461.749,869.722,734.418,0.92,5.9408,45669.802,-88.679,24.662,4221.2241,571.442,85.121,279.117
CF UN Equity,CF Industries Holdings Inc,US,Materials,30,36.46,-286.7,911.7,4467.5,12869.8,1303.2,-1023.9,33.4498,38.807,4409,-46,47.602,6992.26,1916.8,134.3,4649.4
VIAB UW Equity,Viacom Inc,US,Consumer Discretionary,45.64,36.85,-564,1922,3818,22217,2313,2171,23.4549,48.2364,13268,124,38.594,18210.4589,3334,#N/A N/A,11779
LDOS UN Equity,Leidos Holdings Inc,US,Information Technology,46.12,43.22,-96,171,954,3302,497,460,5.451,12.6667,5100,218,35.945,3323.5651,329,#N/A N/A,510
WYN UN Equity,Wyndham Worldwide Corp,US,Consumer Discretionary,64.9,72.84,-196,552,1019,9707,902,656,17.6352,95.637,5455,-326,26.858,7535.2796,1193,118,2814
Y UN Equity,Alleghany Corp,US,Financials,477.92,463.98,0,543.317,7460.787,23434.135,728.66,677.027,16.8075,#N/A N/A,4949.198,#N/A N/A,18.83,7442.4535,#N/A N/A,92.758,1196.301
SE UN Equity,Spectra Energy Corp,US,Energy,27.45,29.2,-995,775,10189,33259,2498,82,34.4509,34.4509,5518,#N/A N/A,41.894,18430.2255,2684,638,13903
FSLR UW Equity,First Solar Inc,US,Information Technology,68.66,71.87,0,576.209,5388.728,7060.642,507.278,294.708,16.0251,27.3334,3644.664,262.26,49.537,6929.1749,840.644,3.348,-1524.04
MJN UN Equity,Mead Johnson Nutrition Co,US,Consumer Staples,72.49,73.76,-319.5,683.9,392.2,3777.9,837.7,670.1,22.6271,63.6322,4198.5,#N/A N/A,27.849,14290.172,1047.2,66.4,477.3
KOS UN Equity,Kosmos Energy Ltd,US,Energy,4.57,4.88,0,35.066,1288.952,3105.045,343.831,-351.601,-4.3101,49.0718,543.84,#N/A N/A,69.913,1759.704,142.674,86.934,533.32
DFS UN Equity,Discover Financial Services,US,Financials,45.79,46.42,-504,2141,11303,85611,3810,3648,35.4033,#N/A N/A,9807,#N/A N/A,26.804,19574.483,5094,1236,13550
TRIP UW Equity,TripAdvisor Inc,US,Consumer Discretionary,66.76,62.6,0,231,1326,2198,369,250,21.55,96.1251,1471,#N/A N/A,49.648,9625.9043,406,10,-442
DPS UN Equity,Dr Pepper Snapple Group Inc,US,Consumer Staples,93.84,91.53,-344,729,2197,8225,976,838,19.7278,58.9592,6245,-36,20.314,17725.6323,1461,112,2428
